Speed_20,Dir_20,Hum,SR,Press,TempK,PTheo
1.1462,302.27,84.284,0.0,785.21,298.897,109.48120333333335
0.9296,302.49,84.716,0.0,785.15,299.135,72.01301333333333
1.0961,317.82,84.782,0.0,785.11,298.818,100.11960083333335
1.2932,303.06,85.091,0.0,784.62,298.877,139.3638533333333
1.1414,306.03,85.833,0.0,784.65,300.01,108.56616333333331
1.1457,303.33,86.21,0.0,784.65,299.745,109.38570749999998
1.3966,303.22,86.831,0.0,784.65,299.785,162.54096333333334
1.4647,313.71,86.852,0.0,784.95,299.985,178.7788408333333
1.1759,306.91,86.708,0.0,784.96,300.266,115.22840083333334
1.5211,318.83,86.716,0.0,784.97,300.275,192.81210083333332
1.7706,314.07,86.862,0.0,784.95,300.433,261.25203
1.7382,327.7,87.118,0.0,784.96,300.58,251.77826999999996
1.7739,320.36,88.013,0.0,785.01,299.772,262.22676749999994
1.8777,317.41,87.9,0.0,785.02,299.897,293.8131075
1.8224,320.82,88.083,0.0,785.01,299.924,276.7618133333334
2.1203,316.81,87.791,0.0,784.91,299.933,374.6393408333333
2.1857,319.19,88.271,0.0,784.78,299.028,398.1070408333334
1.8392,307.37,88.532,0.0,784.73,298.835,281.88805333333335
1.2641,308.44,88.334,0.0,784.59,298.827,133.16240083333332
1.5983,303.14,88.12,0.0,784.55,298.677,212.88024083333337
1.2763,292.87,87.596,0.0,784.68,299.264,135.74514083333332
1.8994,296.92,86.869,0.0,784.76,299.764,300.6433633333333
1.2302,302.94,86.674,0.0,785.02,299.784,126.11600333333334
1.6179,311.33,86.643,0.0,785.21,300.495,218.1333675
1.791,302.41,87.895,0.0,785.27,300.278,267.3067499999999
1.7963,317.29,89.317,0.0,785.12,299.759,268.89114083333334
1.4165,309.76,90.32,0.0,785.12,299.845,167.20602083333335
1.5217,303.0,88.951,0.0,784.66,299.648,192.96424083333335
1.2293,304.21,91.101,0.0,784.62,299.627,125.93154083333336
1.2347,308.23,92.196,0.0,784.8,300.381,127.04034083333332
0.8555,306.93,87.987,0.0,784.73,300.62,60.99002083333335
0.8619,295.21,88.037,0.0,784.37,300.633,61.905967499999996
0.8623,308.97,87.854,0.0,784.62,300.806,61.96344083333333
0.64,308.81,86.522,0.0,784.73,300.812,34.13333333333334
0.6346,311.04,86.643,0.0,784.73,300.74,33.559763333333336
0.461,310.96,86.552,0.0,784.91,300.628,17.710083333333333
0.4586,314.05,86.967,0.0,785.03,300.608,17.526163333333333
0.2959,304.03,87.428,0.0,785.12,300.993,7.296400833333333
0.3521,304.2,88.219,0.0,785.23,295.357,10.331200833333334
0.3211,301.26,87.717,0.0,785.23,295.341,8.592100833333332
0.7032,314.76,87.985,0.0,785.22,295.311,41.20752000000001
0.7049,330.19,88.03,0.0,785.22,295.277,41.407000833333335
0.3063,312.14,87.007,0.0,785.08,295.145,7.8183074999999995
0.188,309.73,88.869,0.0,785.08,295.841,2.9453333333333336
0.1201,298.98,89.51,0.0,785.05,295.815,1.2020008333333332
0.0211,300.1,89.634,0.0,785.09,296.831,0.03710083333333333
0.012,302.99,89.845,0.0,785.02,296.325,0.012000000000000002
0.0206,294.06,90.322,0.0,785.22,296.842,0.03536333333333334
0.1293,286.79,91.407,0.0,785.0,296.545,1.3932075
0.1255,292.98,91.481,0.0,784.77,296.585,1.3125208333333334
0.0201,295.29,91.002,0.0,784.77,296.812,0.033667499999999996
0.0072,294.25,89.948,0.0,784.55,297.085,0.004319999999999999
0.038,295.46,90.195,0.0,784.5,297.007,0.12033333333333332
0.068,293.71,89.183,0.0,784.5,297.036,0.3853333333333334
0.095,298.18,89.486,0.0,784.48,297.39,0.7520833333333333
0.1188,303.7,89.849,0.0,784.65,297.388,1.17612
0.741,299.05,89.657,0.0,784.69,296.391,45.75675
0.9194,296.92,89.132,0.0,784.74,297.011,70.44136333333334
1.028,292.07,89.002,0.0,784.79,297.019,88.06533333333334
0.6395,290.68,88.742,0.0,784.74,297.495,34.08002083333333
1.0687,294.77,89.604,0.0,784.83,298.121,95.17664083333332
1.0676,289.06,89.392,0.0,784.72,298.672,94.98081333333334
0.7876,293.65,88.978,0.0,785.05,298.736,51.692813333333326
0.6067,296.99,89.186,0.0,784.71,298.527,30.67374083333333
0.8834,301.55,90.09,0.0,784.7,298.461,65.03296333333333
0.7261,298.78,89.361,0.0,784.62,298.334,43.93510083333332
0.5168,306.73,89.848,0.0,784.7,298.29,22.256853333333336
0.5884,311.34,89.462,0.0,784.84,298.284,28.851213333333334
0.4243,311.4,89.112,0.0,784.84,298.269,15.002540833333335
0.4391,316.03,89.066,0.0,784.85,297.914,16.06740083333333
0.6079,303.97,89.047,0.0,784.98,298.552,30.795200833333336
0.5066,306.04,89.135,0.0,785.23,298.551,21.386963333333338
0.7941,304.54,89.499,4.03,785.38,298.859,52.5495675
0.7121,301.19,88.998,3.85,785.05,299.215,42.25720083333333
0.4306,305.34,88.775,4.06,784.73,298.664,15.451363333333331
0.0214,307.95,87.66,4.2,784.66,298.604,0.03816333333333333
0.8189,296.36,87.524,1.61,784.77,298.604,55.88310083333333
0.7217,292.6,87.617,0.69,784.45,298.594,43.40424083333334
0.9284,297.23,86.479,1.17,784.11,298.617,71.82721333333333
0.7632,297.11,86.36,49.24,784.46,298.681,48.539519999999996
1.3933,297.33,85.236,67.16,784.65,298.367,161.77374083333328
1.3733,292.19,85.427,69.84,784.76,298.161,157.16274083333334
1.5301,292.33,86.573,27.16,784.67,298.137,195.10050083333337
1.5401,298.57,85.671,36.08,784.64,298.293,197.65900083333335
1.5061,295.2,78.586,246.08,784.38,297.504,189.0281008333333
2.0044,293.04,78.794,246.81,784.23,298.225,334.8016133333333
2.0646,308.55,82.227,220.61,784.22,298.34,355.21443
2.089,307.93,82.519,204.56,784.39,298.37,363.6600833333333
2.1705,304.43,84.763,218.3,783.91,298.325,392.5891875
1.9112,306.02,84.356,239.92,784.37,297.314,304.39045333333337
1.738,306.51,86.964,220.93,784.36,296.754,251.72033333333331
